"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
2018,"Alavés","La Liga","Martin Agirregabiria","ESP","DF","21",1996,20.3,25,1.23,20,5,0,0,0,0,5,0.25,5,0,0,0,0,0,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria"
2018,"Alavés","La Liga","Alexis","ESP","DF","31",1985,24.3,15,0.62,11,4,0,0,0,0,1,0.04,1,0,0,0,0,0,"https://fbref.com/en/players/db0cd1ae/Alexis"
2018,"Alavés","La Liga","Burgui","ESP","MF,FW","23",1993,11.5,46,4,36,0,2,3,4,1,4,0.35,3,0,1,0,0,0,"https://fbref.com/en/players/45e304c8/Burgui"
2018,"Alavés","La Liga","Ermedin Demirović","BIH","FW","19",1998,2,4,1.98,2,0,0,2,0,0,1,0.49,1,0,0,0,0,0,"https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic"
2018,"Alavés","La Liga","Adrián Diéguez","ESP","DF","21",1996,4.8,2,0.41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/70438d35/Adrian-Dieguez"
2018,"Alavés","La Liga","Rubén Duarte","ESP","DF","21",1995,23.8,43,1.81,31,5,1,2,3,1,3,0.13,2,0,0,0,1,0,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2018,"Alavés","La Liga","Rodrigo Ely","BRA","DF","23",1993,29.9,16,0.54,13,0,0,2,0,1,1,0.03,1,0,0,0,0,0,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
2018,"Alavés","La Liga","Manu García","ESP","MF","31",1986,27.1,44,1.62,32,0,3,2,7,0,5,0.18,5,0,0,0,0,0,"https://fbref.com/en/players/05a4465d/Manu-Garcia"
2018,"Alavés","La Liga","Ibai Gómez","ESP","MF,FW","27",1989,25.8,77,2.99,36,28,7,3,2,1,9,0.35,6,1,1,1,0,0,"https://fbref.com/en/players/9d2a3d5f/Ibai-Gomez"
2018,"Alavés","La Liga","John Guidetti","SWE","FW","25",1992,13.6,35,2.58,26,0,2,4,2,1,6,0.44,4,0,1,1,0,0,"https://fbref.com/en/players/99bebd12/John-Guidetti"
2018,"Alavés","La Liga","Munir El Haddadi","MAR","FW","21",1995,27.2,95,3.5,55,11,4,5,20,0,12,0.44,7,2,1,1,1,0,"https://fbref.com/en/players/8696bc90/Munir-El-Haddadi"
2018,"Alavés","La Liga","Héctor Hernández","ESP","DF","26",1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/76ee80ee/Hector-Hernandez"
2018,"Alavés","La Liga","Aleksandar Katai","SRB","MF,DF","26",1991,0.6,3,5,1,0,1,0,1,0,1,1.67,1,0,0,0,0,0,"https://fbref.com/en/players/d5127c3f/Aleksandar-Katai"
2018,"Alavés","La Liga","Bojan Krkić","ESP","FW,MF","26",1990,4.9,7,1.43,5,0,1,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9fa0a0b8/Bojan-Krkic"
2018,"Alavés","La Liga","Víctor Laguardia","ESP","DF","27",1989,17,6,0.35,3,3,0,0,0,0,1,0.06,1,0,0,0,0,0,"https://fbref.com/en/players/b7c99b9b/Victor-Laguardia"
2018,"Alavés","La Liga","Víctor López","ESP","MF","20",1997,0.7,2,3,2,0,0,0,0,0,1,1.5,1,0,0,0,0,0,"https://fbref.com/en/players/a68856b5/Victor-Lopez"
2018,"Alavés","La Liga","Guillermo Maripán","CHI","DF","23",1994,17,5,0.29,4,0,0,0,0,1,2,0.12,2,0,0,0,0,0,"https://fbref.com/en/players/d9764034/Guillermo-Maripan"
2018,"Alavés","La Liga","Álvaro Medrán","ESP","MF","23",1994,10.5,20,1.9,15,0,3,0,2,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/31223bcf/Alvaro-Medran"
2018,"Alavés","La Liga","Fernando Pacheco","ESP","GK","25",1992,37.3,5,0.13,1,4,0,0,0,0,1,0.03,0,1,0,0,0,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2018,"Alavés","La Liga","Alfonso Pedraza","ESP","MF,DF","21",1996,27.1,62,2.29,38,2,11,3,4,4,8,0.3,5,0,1,1,1,0,"https://fbref.com/en/players/63f04c6c/Alfonso-Pedraza"
2018,"Alavés","La Liga","Hernán Pérez","PAR","MF","28",1989,4.2,14,3.38,8,1,3,0,1,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e1cea3f7/Hernan-Perez"
2018,"Alavés","La Liga","Tomás Pina Isla","ESP","MF","29",1987,26.5,32,1.21,29,0,0,0,2,1,2,0.08,2,0,0,0,0,0,"https://fbref.com/en/players/e54bd0a2/Tomas-Pina-Isla"
2018,"Alavés","La Liga","Óscar Romero","PAR","MF,FW","25",1992,2.8,10,3.6,2,3,1,2,2,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4bc5f2b4/Oscar-Romero"
2018,"Alavés","La Liga","Christian Santos","VEN","FW","29",1988,4.8,5,1.03,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4efd29bb/Christian-Santos"
2018,"Alavés","La Liga","Antonio Sivera","ESP","GK","20",1996,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2018,"Alavés","La Liga","Rubén Sobrino","ESP","FW,MF","25",1992,16.3,40,2.45,26,0,8,0,5,1,5,0.31,2,0,2,0,1,0,"https://fbref.com/en/players/19b776e9/Ruben-Sobrino"
