"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2018,"Alavés","La Liga","Fernando Pacheco","ESP","GK","25",1992,37.3,50,7,2,7,2,49.2,0.25,1.2,0.03,325,773,42,698,101,65.3,43.4,355,89.3,56.5,646,17,2.6,19,0.51,12.5,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2018,"Alavés","La Liga","Antonio Sivera","ESP","GK","20",1996,0.7,NA,NA,NA,NA,NA,0.2,0.17,NA,NA,5,13,38.5,10,2,80,48.6,5,100,66.4,11,NA,NA,NA,NA,9,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2018,"Amiens","Ligue 1","Jean-Christophe Bouet","FRA","GK","34",1983,1,1,0,0,0,0,1.3,0.19,0.3,0.3,7,21,33.3,17,4,52.9,40.4,13,92.3,55.4,19,0,0,0,0,5,"https://fbref.com/en/players/96908f80/Jean-Christophe-Bouet"
2018,"Amiens","Ligue 1","Régis Gurtner","FRA","GK","30",1986,37,41,4,0,3,0,48.9,0.27,7.9,0.21,329,909,36.2,894,98,63.3,43.9,361,95,58.9,634,31,4.9,25,0.68,12.6,"https://fbref.com/en/players/bc270726/Regis-Gurtner"
2018,"Angers","Ligue 1","Ludovic Butelle","FRA","GK","34",1983,18.4,22,3,1,1,2,19.6,0.25,-0.4,-0.02,89,314,28.3,390,84,48.2,38.6,145,86.9,54.7,255,22,8.6,25,1.36,16.2,"https://fbref.com/en/players/26975a92/Ludovic-Butelle"
2018,"Angers","Ligue 1","Alexandre Letellier","FRA","GK","26",1990,13,17,2,0,2,1,14.3,0.29,-1.7,-0.13,90,202,44.6,232,60,48.7,39.3,102,87.3,59.9,187,4,2.1,5,0.38,12.1,"https://fbref.com/en/players/96fcd380/Alexandre-Letellier"
2018,"Angers","Ligue 1","Mathieu Michel","FRA","GK","25",1991,6.6,13,2,0,0,1,8.9,0.26,-3.1,-0.47,41,109,37.6,128,32,49.2,38.2,59,78,53.8,96,5,5.2,1,0.15,9.9,"https://fbref.com/en/players/e39f8724/Mathieu-Michel"
2018,"Arsenal","Premier League","Petr Čech","CZE","GK","35",1982,33.8,48,5,0,6,0,45.9,0.3,-2.1,-0.06,149,414,36,809,223,34.4,34.4,225,60.4,47.2,426,33,7.7,52,1.54,14.4,"https://fbref.com/en/players/71672fa0/Petr-Cech"
2018,"Arsenal","Premier League","David Ospina","COL","GK","28",1988,4.2,3,0,0,0,0,2.5,0.21,-0.5,-0.12,15,46,32.6,116,27,22.4,29.3,28,71.4,47.5,82,6,7.3,7,1.65,13.1,"https://fbref.com/en/players/82b1198a/David-Ospina"
2018,"Atalanta","Serie A","Etrit Berisha","ALB","GK","28",1989,31,34,1,2,2,0,33.3,0.32,-0.7,-0.02,183,412,44.4,609,169,36.5,34.5,233,81.5,54,396,18,4.5,25,0.81,14.1,"https://fbref.com/en/players/ee833569/Etrit-Berisha"
2018,"Atalanta","Serie A","Pierluigi Gollini","ITA","GK","22",1995,6.9,4,0,0,1,0,5.6,0.34,1.6,0.24,22,51,43.1,145,24,17.2,29.9,50,52,44.9,90,2,2.2,5,0.72,15.7,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
2018,"Atalanta","Serie A","Francesco Rossi","ITA","GK","26",1991,0.1,1,0,0,1,0,0.3,0.17,-0.7,-7.43,1,1,100,3,2,33.3,33.3,0,NA,NA,1,0,0,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
2018,"Athletic Club","La Liga","Kepa Arrizabalaga","ESP","GK","22",1994,30,43,1,3,5,3,43.4,0.3,3.4,0.11,318,644,49.4,843,112,56.5,42.2,206,81.6,58.1,395,23,5.8,22,0.73,13.4,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga"
2018,"Athletic Club","La Liga","Iago Herrerín","ESP","GK","29",1988,8,6,2,0,0,0,8.5,0.19,2.5,0.32,89,196,45.4,223,28,61.9,43.6,65,89.2,61.1,130,6,4.6,9,1.13,14.2,"https://fbref.com/en/players/9109185e/Iago-Herrerin"
2018,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","24",1993,37,22,1,1,2,1,32.7,0.23,11.7,0.32,191,566,33.7,632,108,55.1,42.4,275,79.3,53.8,534,25,4.7,13,0.35,11.9,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
