"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2018,"Alavés","La Liga","team",30,38,702,464,364,265,73,267,663,40.3,396,407,133,274,498,1200,981,11,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Alavés","La Liga","opponent",30,38,650,462,323,246,81,246,576,42.7,330,317,88,229,422,1072,721,5,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Amiens","Ligue 1","team",30,38,658,445,336,252,70,243,623,39,380,444,164,280,523,1181,1128,20,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Amiens","Ligue 1","opponent",30,38,716,457,304,334,78,213,610,34.9,397,365,86,279,470,1186,794,11,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Angers","Ligue 1","team",27,38,661,427,350,240,71,244,766,31.9,522,402,79,323,410,1071,853,14,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Angers","Ligue 1","opponent",27,38,718,469,360,300,58,227,606,37.5,379,421,113,308,436,1154,902,9,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Arsenal","Premier League","team",30,38,623,425,312,227,84,218,581,37.5,363,372,103,269,427,1050,879,33,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Arsenal","Premier League","opponent",30,38,576,347,293,216,67,164,547,30,383,508,164,344,584,1160,1079,15,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Atalanta","Serie A","team",25,38,725,488,334,313,78,272,650,41.8,378,430,107,323,476,1201,820,11,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Atalanta","Serie A","opponent",25,38,711,484,375,272,64,262,704,37.2,442,505,157,348,589,1300,935,20,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Athletic Club","La Liga","team",26,38,739,486,359,304,76,296,735,40.3,439,432,103,329,465,1204,820,9,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Athletic Club","La Liga","opponent",26,38,670,449,332,280,58,261,611,42.7,350,374,76,298,422,1092,919,6,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Atlético Madrid","La Liga","team",26,38,917,614,442,372,103,377,847,44.5,470,462,129,333,513,1430,885,4,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Atlético Madrid","La Liga","opponent",26,38,715,494,346,273,96,267,693,38.5,426,390,91,299,488,1203,792,12,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Augsburg","Bundesliga","team",27,34,723,543,361,292,70,364,603,60.4,239,400,107,293,400,1123,835,15,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
2018,"Augsburg","Bundesliga","opponent",27,34,576,427,282,242,52,256,441,58,185,400,93,307,342,918,844,14,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
2018,"Barcelona","La Liga","team",25,38,629,413,281,262,86,229,552,41.5,323,366,103,263,424,1053,525,10,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
2018,"Barcelona","La Liga","opponent",25,38,819,517,438,307,74,354,973,36.4,619,477,128,349,618,1437,694,14,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
2018,"Bayern Munich","Bundesliga","team",28,34,609,467,269,248,92,308,549,56.1,241,313,75,238,355,964,399,11,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats"
