"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2018,"Alavés","La Liga","team",30,38,9696,13876,69.9,182999,81720,4360,5314,82,3564,4667,76.4,1462,3022,48.4,31,27.7,22,3.3,277,835,176,62,1045,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Alavés","La Liga","opponent",30,38,16759,20975,79.9,311147,108909,7415,8450,87.8,6737,7898,85.3,2235,3701,60.4,28,38.8,37.7,-10.8,392,1459,345,106,1842,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Amiens","Ligue 1","team",30,38,11213,15624,71.8,204779,89839,5062,6052,83.6,4333,5495,78.9,1406,3017,46.6,24,21.3,24,2.7,263,845,178,55,1178,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Amiens","Ligue 1","opponent",30,38,16074,20616,78,280243,108471,7544,8596,87.8,6047,7336,82.4,1822,3366,54.1,30,40.2,43.1,-10.2,449,1335,350,107,1751,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Angers","Ligue 1","team",27,38,12795,17004,75.2,225504,93236,6155,7108,86.6,4780,5942,80.4,1476,2937,50.3,30,35.3,30.9,-5.3,343,923,227,62,1430,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Angers","Ligue 1","opponent",27,38,16954,20989,80.8,298673,104755,7816,8799,88.8,6607,7650,86.4,1949,3277,59.5,34,33.4,28.1,0.6,316,1339,246,74,1777,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Arsenal","Premier League","team",30,38,20878,25193,82.9,353044,121329,9800,10957,89.4,8683,9926,87.5,1749,2912,60.1,61,53.3,55.2,7.7,444,1658,478,49,2223,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Arsenal","Premier League","opponent",30,38,11792,15903,74.1,215755,86235,5290,6114,86.5,4568,5677,80.5,1472,3072,47.9,38,32.9,30.5,5.1,306,926,257,73,1188,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Atalanta","Serie A","team",25,38,16953,21308,79.6,305663,107817,7475,8565,87.3,6842,8106,84.4,2052,3350,61.3,38,44.7,41.9,-6.7,441,1374,418,91,1920,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Atalanta","Serie A","opponent",25,38,12944,17218,75.2,235099,100327,5671,6630,85.5,5250,6460,81.3,1584,3078,51.5,29,27.1,27.2,1.9,300,1048,219,66,1321,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Athletic Club","La Liga","team",26,38,13195,17614,74.9,263112,100454,5337,6361,83.9,5378,6581,81.7,2185,3745,58.3,25,33.7,33.3,-8.7,304,1214,292,104,1519,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Athletic Club","La Liga","opponent",26,38,13708,18019,76.1,251130,93926,6277,7277,86.3,5162,6313,81.8,1874,3382,55.4,33,37.1,30.1,-4.1,331,996,254,80,1311,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Atlético Madrid","La Liga","team",26,38,14484,18580,78,247035,94141,7240,8251,87.7,5003,6032,82.9,1640,3052,53.7,41,36.6,30.9,4.4,295,1168,259,34,1460,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Atlético Madrid","La Liga","opponent",26,38,16583,20707,80.1,294310,103147,7860,8856,88.8,6372,7510,84.8,1911,3252,58.8,17,27.6,28,-10.6,321,1362,303,85,1677,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Augsburg","Bundesliga","team",27,34,10252,14448,71,193475,85959,4005,4903,81.7,4024,5162,78,1575,3074,51.2,30,32.3,33.2,-2.3,319,832,244,107,1117,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
