"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2018,"Alavés","La Liga","team",30,38,13876,11799,1969,566,37,133,558,817,138,61,55,6,9696,108,301,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Alavés","La Liga","opponent",30,38,20975,18847,2069,661,37,282,805,841,235,68,117,7,16759,59,348,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Amiens","Ligue 1","team",30,38,15624,13590,1965,535,40,110,590,837,140,50,67,0,11213,69,346,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Amiens","Ligue 1","opponent",30,38,20616,18473,2071,538,65,169,845,992,211,91,84,1,16074,72,375,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Angers","Ligue 1","team",27,38,17004,14902,2043,502,57,106,653,976,169,97,50,0,12795,59,381,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Angers","Ligue 1","opponent",27,38,20989,19044,1874,516,62,197,687,818,174,84,65,1,16954,71,415,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Arsenal","Premier League","team",30,38,25193,23347,1757,432,117,151,572,758,225,132,49,4,20878,89,413,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Arsenal","Premier League","opponent",30,38,15903,14034,1791,444,58,130,666,744,180,85,37,23,11792,78,345,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Atalanta","Serie A","team",25,38,21308,19223,2006,530,30,288,751,887,230,90,114,6,16953,79,422,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Atalanta","Serie A","opponent",25,38,17218,15092,2069,545,49,92,632,882,187,93,58,0,12944,57,404,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
