"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","Url"
2018,"Alavés","La Liga","team",30,25.5,38,3420,90,100,38,418,85,303,111,20,154,1.24,40,50,-10,-0.26,38.5,55.9,-17.4,-0.46,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Alavés","La Liga","opponent",30,26.8,38,3420,90,100,38,418,85,308,106,23,160,1.71,50,40,10,0.26,55.9,38.5,17.4,0.46,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Amiens","Ligue 1","team",30,27.5,38,3420,90,100,38,418,85,303,111,20,155,1.18,37,42,-5,-0.13,32.8,54.9,-22.1,-0.58,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Amiens","Ligue 1","opponent",30,26,38,3420,90,100,38,418,85,312,105,21,158,1.58,42,37,5,0.13,54.9,32.8,22.1,0.58,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Angers","Ligue 1","team",27,27.1,38,3420,90,100,38,418,84,303,112,22,153,1.08,42,52,-10,-0.26,47.6,45.8,1.8,0.05,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Angers","Ligue 1","opponent",27,25.8,38,3420,90,100,38,418,84,305,107,19,159,1.55,52,42,10,0.26,45.8,47.6,-1.8,-0.05,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Arsenal","Premier League","team",30,26.8,38,3420,90,100,38,418,NA,NA,101,0,165,1.66,74,51,23,0.61,68.3,47.8,20.5,0.54,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Arsenal","Premier League","opponent",30,27,38,3420,90,100,38,418,NA,NA,105,18,161,1.18,51,74,-23,-0.61,47.8,68.3,-20.5,-0.54,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Atalanta","Serie A","team",25,25.7,38,3420,90,100,38,418,NA,NA,108,0,313,1.58,57,39,18,0.47,64.1,36.6,27.5,0.72,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Atalanta","Serie A","opponent",25,27.1,38,3420,90,100,38,418,NA,NA,112,22,316,1.11,39,57,-18,-0.47,36.6,64.1,-27.5,-0.72,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Athletic Club","La Liga","team",26,26.7,38,3420,90,100,38,418,85,312,106,22,160,1.13,41,49,-8,-0.21,49.7,50.3,-0.6,-0.02,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Athletic Club","La Liga","opponent",26,27,38,3420,90,100,38,418,85,304,106,23,160,1.53,49,41,8,0.21,50.3,49.7,0.6,0.02,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Atlético Madrid","La Liga","team",26,26.6,38,3420,90,100,38,418,83,304,110,24,156,2.08,58,22,36,0.95,50.2,35.8,14.4,0.38,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Atlético Madrid","La Liga","opponent",26,26.8,38,3420,90,100,38,418,83,312,106,23,160,0.66,22,58,-36,-0.95,35.8,50.2,-14.4,-0.38,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Augsburg","Bundesliga","team",27,26.6,34,3060,90,100,34,374,NA,NA,95,0,143,1.21,43,46,-3,-0.09,44.7,41.4,3.3,0.1,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
2018,"Augsburg","Bundesliga","opponent",27,25.7,34,3060,90,100,34,374,NA,NA,99,20,138,1.47,46,43,3,0.09,41.4,44.7,-3.3,-0.1,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
2018,"Barcelona","La Liga","team",25,27.7,38,3420,90,100,38,418,84,305,111,21,155,2.45,99,29,70,1.84,83.5,41.9,41.6,1.09,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
2018,"Barcelona","La Liga","opponent",25,26.7,38,3420,90,100,38,418,84,303,111,21,155,0.32,29,99,-70,-1.84,41.9,83.5,-41.6,-1.09,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
2018,"Bayern Munich","Bundesliga","team",28,27.4,34,3060,90,100,34,374,NA,NA,102,0,134,2.47,92,28,64,1.88,75.8,31.7,44.1,1.3,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats"
2018,"Bayern Munich","Bundesliga","opponent",28,25.3,34,3060,90,100,34,374,NA,NA,101,23,137,0.44,28,92,-64,-1.88,31.7,75.8,-44.1,-1.3,"https://fbref.com/en/squads/054efa67/2017-2018/Bayern-Munich-Stats"
2018,"Benevento","Serie A","team",41,26,38,3420,90,100,38,418,NA,NA,113,0,311,0.55,33,84,-51,-1.34,38.3,73.2,-34.9,-0.92,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats"
2018,"Benevento","Serie A","opponent",41,27.1,38,3420,90,100,38,418,NA,NA,112,23,314,2.37,84,33,51,1.34,73.2,38.3,34.9,0.92,"https://fbref.com/en/squads/4fcb34fd/2017-2018/Benevento-Stats"
2018,"Betis","La Liga","team",29,27.1,38,3420,90,100,38,418,84,302,113,21,153,1.58,60,61,-1,-0.03,46,49,-3.1,-0.08,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats"
2018,"Betis","La Liga","opponent",29,26.8,38,3420,90,100,38,418,84,301,114,21,151,1.26,61,60,1,0.03,49,46,3.1,0.08,"https://fbref.com/en/squads/fc536746/2017-2018/Real-Betis-Stats"
2018,"Bologna","Serie A","team",30,26.8,38,3420,90,100,38,418,NA,NA,113,0,331,1.03,40,52,-12,-0.32,36.6,51.4,-14.8,-0.39,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats"
2018,"Bologna","Serie A","opponent",30,27.1,38,3420,90,100,38,418,NA,NA,111,21,316,1.82,52,40,12,0.32,51.4,36.6,14.8,0.39,"https://fbref.com/en/squads/1d8099f8/2017-2018/Bologna-Stats"
2018,"Bordeaux","Ligue 1","team",31,25.1,38,3420,90,100,38,418,84,303,112,21,153,1.45,53,48,5,0.13,51,43.6,7.5,0.2,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats"
2018,"Bordeaux","Ligue 1","opponent",31,25.8,38,3420,90,100,38,418,84,312,103,23,159,1.37,48,53,-5,-0.13,43.6,51,-7.5,-0.2,"https://fbref.com/en/squads/123f3efe/2017-2018/Bordeaux-Stats"
2018,"Bournemouth","Premier League","team",22,26.9,38,3420,90,100,38,418,NA,NA,109,0,157,1.16,45,61,-16,-0.42,38.8,59.2,-20.4,-0.54,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Bournemouth","Premier League","opponent",22,26.9,38,3420,90,100,38,418,NA,NA,106,18,160,1.55,61,45,16,0.42,59.2,38.8,20.4,0.54,"https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats"
2018,"Brighton","Premier League","team",24,27.5,38,3420,90,100,38,418,NA,NA,101,0,165,1.05,34,54,-20,-0.53,37,50.8,-13.8,-0.36,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Brighton","Premier League","opponent",24,27,38,3420,90,100,38,418,NA,NA,105,16,161,1.61,54,34,20,0.53,50.8,37,13.8,0.36,"https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats"
2018,"Burnley","Premier League","team",24,27.5,38,3420,90,100,38,418,NA,NA,83,0,183,1.42,36,39,-3,-0.08,32.3,51.2,-18.9,-0.5,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Burnley","Premier League","opponent",24,27,38,3420,90,100,38,418,NA,NA,96,18,169,1.26,39,36,3,0.08,51.2,32.3,18.9,0.5,"https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats"
2018,"Caen","Ligue 1","team",26,27.3,38,3420,90,100,38,418,84,320,95,25,170,1,27,52,-25,-0.66,42.8,48,-5.2,-0.14,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Caen","Ligue 1","opponent",26,25.9,38,3420,90,100,38,418,84,306,109,18,157,1.79,52,27,25,0.66,48,42.8,5.2,0.14,"https://fbref.com/en/squads/74229020/2017-2018/Caen-Stats"
2018,"Cagliari","Serie A","team",29,27.1,38,3420,90,100,38,418,NA,NA,114,0,295,1.03,33,61,-28,-0.74,39.7,59.2,-19.5,-0.51,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Cagliari","Serie A","opponent",29,27.1,38,3420,90,100,38,418,NA,NA,111,20,311,1.82,61,33,28,0.74,59.2,39.7,19.5,0.51,"https://fbref.com/en/squads/c4260e09/2017-2018/Cagliari-Stats"
2018,"Celta Vigo","La Liga","team",23,25.7,38,3420,90,100,38,418,85,308,109,19,157,1.29,59,60,-1,-0.03,55,55.3,-0.3,-0.01,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Celta Vigo","La Liga","opponent",23,26.8,38,3420,90,100,38,418,85,308,110,21,156,1.45,60,59,1,0.03,55.3,55,0.3,0.01,"https://fbref.com/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats"
2018,"Chelsea","Premier League","team",26,26.7,38,3420,90,100,38,418,NA,NA,109,0,157,1.84,62,38,24,0.63,54.4,33.8,20.6,0.54,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
2018,"Chelsea","Premier League","opponent",26,26.9,38,3420,90,100,38,418,NA,NA,107,19,159,0.97,38,62,-24,-0.63,33.8,54.4,-20.6,-0.54,"https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats"
