"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2018,"Alavés","La Liga","team",30,38,40,389,134,34.4,10.24,3.53,0.1,0.29,19.3,22,1,3,38.5,36.1,0.1,1.5,2.9,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Alavés","La Liga","opponent",30,38,48,523,163,31.2,13.76,4.29,0.08,0.25,18.7,31,7,10,55.9,48.6,0.1,-7.9,-7.6,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Amiens","Ligue 1","team",30,38,36,356,95,26.7,9.37,2.5,0.09,0.35,19.8,14,3,4,32.8,29.8,0.08,3.2,3.2,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Amiens","Ligue 1","opponent",30,38,42,600,174,29,15.79,4.58,0.06,0.22,19.6,27,4,4,54.9,51.9,0.09,-12.9,-13.9,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Angers","Ligue 1","team",27,38,41,458,151,33,12.05,3.97,0.08,0.25,18.8,21,4,4,47.6,44.5,0.1,-6.6,-7.5,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Angers","Ligue 1","opponent",27,38,48,410,131,32,10.79,3.45,0.1,0.31,19.2,25,7,7,45.8,40.3,0.1,2.2,0.7,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Arsenal","Premier League","team",30,38,73,589,223,37.9,15.5,5.87,0.12,0.31,17.9,30,4,5,68.3,64.3,0.11,4.7,4.7,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Arsenal","Premier League","opponent",30,38,51,418,141,33.7,11,3.71,0.11,0.33,17.3,12,5,6,47.8,43.1,0.1,3.2,2.9,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Atalanta","Serie A","team",25,38,57,570,192,33.7,15,5.05,0.09,0.27,16.9,15,5,9,64.1,57.2,0.1,-7.1,-5.2,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Atalanta","Serie A","opponent",25,38,39,405,116,28.6,10.66,3.05,0.09,0.33,18.7,18,1,2,36.6,35.1,0.09,2.4,2.9,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
