"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2018,"Alavés","La Liga","team",30,25.5,40.3,38,418,3420,38,40,31,71,39,1,3,109,4,38.5,36.1,27.7,63.8,454,1045,1.05,0.82,1.87,1.03,1.84,1.01,0.73,1.74,0.95,1.68,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Alavés","La Liga","opponent",30,26.8,59.7,38,418,3420,38,48,28,76,41,7,10,84,4,55.9,48.6,38.8,87.4,751,1842,1.26,0.74,2,1.08,1.82,1.47,1.02,2.49,1.28,2.3,"https://fbref.com/en/squads/8d6fd021/2017-2018/Alaves-Stats"
2018,"Amiens","Ligue 1","team",30,27.5,43.3,38,418,3420,38,36,24,60,33,3,4,74,5,32.8,29.8,21.3,51.1,547,1178,0.95,0.63,1.58,0.87,1.5,0.86,0.56,1.42,0.78,1.35,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Amiens","Ligue 1","opponent",30,26,56.7,38,418,3420,38,42,30,72,38,4,4,55,2,54.9,51.9,40.2,92.1,807,1751,1.11,0.79,1.89,1,1.79,1.45,1.06,2.5,1.36,2.42,"https://fbref.com/en/squads/25622401/2017-2018/Amiens-Stats"
2018,"Angers","Ligue 1","team",27,27.1,45.1,38,418,3420,38,41,30,71,37,4,4,70,3,47.6,44.5,35.3,79.8,699,1430,1.08,0.79,1.87,0.97,1.76,1.25,0.93,2.18,1.17,2.1,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Angers","Ligue 1","opponent",27,25.8,54.9,38,418,3420,38,48,34,82,41,7,7,83,7,45.8,40.3,33.4,73.8,749,1777,1.26,0.89,2.16,1.08,1.97,1.21,0.88,2.09,1.06,1.94,"https://fbref.com/en/squads/69236f98/2017-2018/Angers-Stats"
2018,"Arsenal","Premier League","team",30,26.8,61.4,38,418,3420,38,73,61,134,69,4,5,57,NA,68.3,64.3,53.3,117.6,915,2223,1.92,1.61,3.53,1.82,3.42,1.8,1.4,3.2,1.69,3.1,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Arsenal","Premier League","opponent",30,27,38.6,38,418,3420,38,51,38,89,46,5,6,52,4,47.8,43.1,32.9,75.9,637,1188,1.34,1,2.34,1.21,2.21,1.26,0.87,2.12,1.13,2,"https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats"
2018,"Atalanta","Serie A","team",25,25.7,55.4,38,418,3420,38,57,38,95,52,5,9,66,NA,64.1,57.2,44.7,101.8,933,1920,1.5,1,2.5,1.37,2.37,1.69,1.18,2.86,1.5,2.68,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Atalanta","Serie A","opponent",25,27.1,44.6,38,418,3420,38,39,29,68,38,1,2,81,5,36.6,35.1,27.1,62.3,581,1321,1.03,0.76,1.79,1,1.76,0.96,0.71,1.68,0.92,1.64,"https://fbref.com/en/squads/922493f3/2017-2018/Atalanta-Stats"
2018,"Athletic Club","La Liga","team",26,26.7,49.6,38,418,3420,38,39,25,64,33,6,8,93,0,49.7,43.8,33.7,77.5,652,1519,1.03,0.66,1.68,0.87,1.53,1.31,0.89,2.19,1.15,2.04,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Athletic Club","La Liga","opponent",26,27,50.4,38,418,3420,38,46,33,79,43,3,6,106,8,50.3,45.6,37.1,82.6,666,1311,1.21,0.87,2.08,1.13,2,1.32,0.98,2.3,1.2,2.17,"https://fbref.com/en/squads/2b390eca/2017-2018/Athletic-Club-Stats"
2018,"Atlético Madrid","La Liga","team",26,26.6,47.5,38,418,3420,38,57,41,98,53,4,5,96,5,50.2,46.3,36.6,82.9,703,1460,1.5,1.08,2.58,1.39,2.47,1.32,0.96,2.28,1.22,2.18,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Atlético Madrid","La Liga","opponent",26,26.8,52.5,38,418,3420,38,21,17,38,20,1,4,98,0,35.8,32.6,27.6,60.2,737,1677,0.55,0.45,1,0.53,0.97,0.94,0.73,1.67,0.86,1.58,"https://fbref.com/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats"
2018,"Augsburg","Bundesliga","team",27,26.6,45.7,34,374,3060,34,41,30,71,37,4,4,68,NA,44.7,41.6,32.3,73.9,524,1117,1.21,0.88,2.09,1.09,1.97,1.32,0.95,2.27,1.22,2.17,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
2018,"Augsburg","Bundesliga","opponent",27,25.7,54.3,34,374,3060,34,46,32,78,44,2,3,51,2,41.4,39.1,29.9,69,562,1476,1.35,0.94,2.29,1.29,2.24,1.22,0.88,2.1,1.15,2.03,"https://fbref.com/en/squads/0cdc4311/2017-2018/Augsburg-Stats"
2018,"Barcelona","La Liga","team",25,27.7,62.8,38,418,3420,38,96,74,170,93,3,5,67,2,83.5,80.1,64.6,144.7,1025,2151,2.53,1.95,4.47,2.45,4.39,2.2,1.7,3.9,2.11,3.81,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
2018,"Barcelona","La Liga","opponent",25,26.7,37.2,38,418,3420,38,29,22,51,27,2,2,99,4,41.9,40.5,32.3,72.8,632,1190,0.76,0.58,1.34,0.71,1.29,1.1,0.85,1.95,1.06,1.91,"https://fbref.com/en/squads/206d90db/2017-2018/Barcelona-Stats"
